fpl_team_id,fpl_name,fpl_short_name,football_data_name,football_data_id
1,Arsenal,ARS,Arsenal FC,57
2,Aston Villa,AVL,Aston Villa FC,58
3,Burnley,BUR,Burnley FC,328
4,Bournemouth,BOU,AFC Bournemouth,1044
5,Brentford,BRE,Brentford FC,402
6,Brighton,BHA,Brighton & Hove Albion FC,397
7,Chelsea,CHE,Chelsea FC,61
8,Crystal Palace,CRY,Crystal Palace FC,354
9,Everton,EVE,Everton FC,62
10,Fulham,FUL,Fulham FC,63
11,Leeds,LEE,Leeds United FC,341
12,Liverpool,LIV,Liverpool FC,64
13,Man City,MCI,Manchester City FC,65
14,Man Utd,MUN,Manchester United FC,66
15,Newcastle,NEW,Newcastle United FC,67
16,Nott'm Forest,NFO,Nottingham Forest FC,351
17,Sunderland,SUN,Sunderland AFC,71
18,Spurs,TOT,Tottenham Hotspur FC,73
19,West Ham,WHU,West Ham United FC,563
20,Wolves,WOL,Wolverhampton Wanderers FC,76
